scene,day,method,completeness_fraction,l1_abs_m,rmse_m,chamfer_m,f1_percent,points_before_downsampling,runtime_min
Main stage I,Day 1,COLMAP,0.3749,0.0877,0.1131,0.4875,36.50,30442580,191
Main stage I,Day 1,ACMMP,0.4598,0.0757,0.0953,0.4970,42.80,105904717,151
Main stage I,Day 1,PGSR,0.2991,0.1271,0.1771,0.5876,29.74,104186194,320
Main stage I,Day 1,MVSFormer++,0.6622,0.0969,0.1195,0.4320,39.26,1227616695,180
Main stage II,Day 1,COLMAP,0.5175,0.0759,0.0997,0.2986,47.21,32433389,265
Main stage II,Day 1,ACMMP,0.6219,0.0641,0.0807,0.2809,54.51,116476716,169
Main stage II,Day 1,PGSR,0.4557,0.1029,0.1487,0.4026,42.11,58215170,329
Main stage II,Day 1,MVSFormer++,0.8374,0.1003,0.1282,0.2689,42.76,1317229956,101
Flight to entrance,Day 1,COLMAP,0.0940,0.0978,0.1251,0.8916,14.38,11843414,115
Flight to entrance,Day 1,ACMMP,0.1238,0.1056,0.1380,1.0395,17.49,24720215,69
Flight to entrance,Day 1,PGSR,0.1024,0.1862,0.2675,1.4728,14.01,23635190,284
Flight to entrance,Day 1,MVSFormer++,0.3583,0.1083,0.1394,0.7607,31.16,337194622,31
Entrance I,Day 1,COLMAP,0.4090,0.0890,0.1187,0.6081,38.72,80629251,601
Entrance I,Day 1,ACMMP,0.4562,0.0847,0.1092,0.6039,40.16,182198498,411
Entrance I,Day 1,PGSR,0.2738,0.2222,0.4353,1.3218,28.83,141569317,473
Entrance I,Day 1,MVSFormer++,0.6925,0.0954,0.1242,0.5336,44.15,1491293674,185
Second stage I,Day 1,COLMAP,0.3750,0.0465,0.0550,0.3417,45.23,28656167,228
Second stage I,Day 1,ACMMP,0.4740,0.0437,0.0516,0.3495,53.01,89421442,160
Second stage I,Day 1,PGSR,0.3662,0.0707,0.0956,0.4835,41.01,60505410,242
Second stage I,Day 1,MVSFormer++,0.7027,0.0608,0.0721,0.2972,54.06,1049621579,118
Garden I,Day 1,COLMAP,0.3035,0.0553,0.0663,0.4297,37.83,59891846,364
Garden I,Day 1,ACMMP,0.3761,0.0532,0.0631,0.4659,43.39,147043957,273
Garden I,Day 1,PGSR,0.2962,0.0840,0.1151,0.6390,34.69,134458919,335
Garden I,Day 1,MVSFormer++,0.6600,0.0683,0.0817,0.3647,49.52,1763536880,122
Food stalls I,Day 1,COLMAP,0.3668,0.0617,0.0739,0.3158,40.38,47876793,269
Food stalls I,Day 1,ACMMP,0.4363,0.0589,0.0696,0.3389,45.00,120689162,177
Food stalls I,Day 1,PGSR,0.3029,0.0988,0.1338,0.4565,32.56,128692188,332
Food stalls I,Day 1,MVSFormer++,0.7048,0.0760,0.0916,0.2745,46.99,1473521911,91
Garden II,Day 1,COLMAP,0.4690,0.0399,0.0453,0.2554,54.26,23169515,155
Garden II,Day 1,ACMMP,0.5062,0.0402,0.0458,0.2580,56.44,60818422,102
Garden II,Day 1,PGSR,0.3481,0.0463,0.0540,0.3195,43.41,57297885,295
Garden II,Day 1,MVSFormer++,0.7430,0.0468,0.0539,0.2114,63.90,748753837,48
Main stage III,Day 2,COLMAP,0.5451,0.0470,0.0599,0.2177,57.08,42993775,295
Main stage III,Day 2,ACMMP,0.6317,0.0420,0.0520,0.2307,63.07,165977111,220
Main stage III,Day 2,PGSR,0.4819,0.0699,0.1014,0.3430,50.02,104209140,290
Main stage III,Day 2,MVSFormer++,0.7933,0.0634,0.0778,0.1936,57.14,1866996966,115
Entrance II,Day 2,COLMAP,0.3962,0.0455,0.0542,0.3808,47.49,43033958,287
Entrance II,Day 2,ACMMP,0.4435,0.0481,0.0575,0.3830,49.77,111911799,210
Entrance II,Day 2,PGSR,0.3075,0.0923,0.1422,0.7293,36.30,64841699,22
Entrance II,Day 2,MVSFormer++,0.6807,0.0642,0.0785,0.3215,53.61,1296364042,94
Entrance III,Day 2,COLMAP,0.6056,0.0364,0.0430,0.1726,64.42,46578574,270
Entrance III,Day 2,ACMMP,0.6311,0.0386,0.0460,0.1800,64.55,133270322,201
Entrance III,Day 2,PGSR,0.4479,0.0631,0.0924,0.4569,49.18,154807660,18
Entrance III,Day 2,MVSFormer++,0.8061,0.0502,0.0602,0.1732,64.95,1487794705,95
Second stage II,Day 2,COLMAP,0.4594,0.0498,0.0633,0.2257,50.97,53761062,428
Second stage II,Day 2,ACMMP,0.5768,0.0468,0.0590,0.2336,58.39,184737038,319
Second stage II,Day 2,PGSR,0.3338,0.0751,0.1035,0.4670,38.41,105417681,30
Second stage II,Day 2,MVSFormer++,0.7670,0.0678,0.0858,0.2208,55.91,1659169399,146
Food stalls II,Day 2,COLMAP,0.3318,0.0438,0.0529,0.2662,43.03,21120005,142
Food stalls II,Day 2,ACMMP,0.4357,0.0404,0.0485,0.2527,52.01,58025449,102
Food stalls II,Day 2,PGSR,0.2890,0.0690,0.0899,0.3627,35.42,35938100,15
Food stalls II,Day 2,MVSFormer++,0.7366,0.0558,0.0678,0.1915,59.75,695836374,50
Garden III,Day 2,COLMAP,0.3188,0.0362,0.0415,0.3793,43.61,21302682,143
Garden III,Day 2,ACMMP,0.4258,0.0346,0.0401,0.3601,53.17,50513244,103
Garden III,Day 2,PGSR,0.3075,0.0523,0.0666,0.4636,39.60,36144080,12
Garden III,Day 2,MVSFormer++,0.6481,0.0458,0.0535,0.3122,60.83,691210743,46
